,post_id,likes_count,reposts_count,comments_count,time
254,423951.0,674.0,20.0,34.0,1480173915.0
255,423816.0,465.0,11.0,49.0,1480158278.0
256,423793.0,780.0,25.0,48.0,1480157546.0
257,423724.0,182.0,17.0,45.0,1480151741.0
258,423707.0,676.0,5.0,32.0,1480151495.0
259,423700.0,549.0,13.0,29.0,1480151376.0
260,423650.0,742.0,17.0,47.0,1480148256.0
261,423619.0,617.0,7.0,26.0,1480146342.0
262,423582.0,186.0,3.0,41.0,1480144926.0
263,423545.0,313.0,4.0,46.0,1480143450.0
264,423491.0,383.0,6.0,25.0,1480139487.0
265,423474.0,771.0,14.0,33.0,1480138820.0
266,423415.0,644.0,10.0,44.0,1480132231.0
267,423399.0,739.0,20.0,41.0,1480131550.0
268,423306.0,667.0,13.0,44.0,1480101308.0
269,423157.0,853.0,20.0,61.0,1480080512.0
270,423123.0,593.0,22.0,37.0,1480078522.0
271,423093.0,638.0,32.0,40.0,1480076344.0
272,423019.0,1243.0,52.0,32.0,1480072524.0
273,423016.0,1048.0,27.0,35.0,1480072498.0
274,422938.0,1147.0,37.0,28.0,1480065851.0
275,422831.0,819.0,15.0,89.0,1480060672.0
276,422743.0,1333.0,44.0,45.0,1480056032.0
277,422662.0,734.0,16.0,62.0,1480050819.0
278,422642.0,743.0,18.0,26.0,1480050378.0
279,422563.0,425.0,6.0,31.0,1480047499.0
280,422558.0,592.0,15.0,35.0,1480047236.0
281,422557.0,974.0,20.0,12.0,1480047211.0
282,422556.0,722.0,27.0,13.0,1480047143.0
283,422514.0,663.0,14.0,26.0,1480045855.0
284,422513.0,269.0,6.0,16.0,1480045807.0
285,422504.0,360.0,13.0,48.0,1480045640.0
286,422498.0,410.0,11.0,32.0,1480045490.0
287,422396.0,675.0,19.0,47.0,1480016367.0
288,422387.0,503.0,17.0,14.0,1480015809.0
289,422299.0,343.0,8.0,47.0,1480010050.0
290,422296.0,209.0,4.0,25.0,1480010006.0
291,422239.0,181.0,7.0,32.0,1480004044.0
292,422204.0,63.0,0.0,10.0,1479998822.0
293,422155.0,427.0,4.0,38.0,1479994304.0
294,422075.0,578.0,12.0,42.0,1479988560.0
295,422061.0,356.0,11.0,29.0,1479988214.0
296,422057.0,272.0,2.0,17.0,1479988134.0
297,421998.0,880.0,44.0,44.0,1479981080.0
298,421947.0,541.0,15.0,44.0,1479978640.0
299,421891.0,909.0,24.0,25.0,1479973710.0
300,421842.0,493.0,12.0,25.0,1479969628.0
301,421809.0,477.0,1.0,35.0,1479968676.0
302,421798.0,763.0,15.0,15.0,1479968072.0
303,421775.0,63.0,3.0,9.0,1479963941.0
304,421692.0,756.0,11.0,35.0,1479958955.0
305,421689.0,1031.0,25.0,22.0,1479958539.0
306,421674.0,318.0,3.0,27.0,1479955864.0
307,421513.0,748.0,37.0,41.0,1479930720.0
308,421506.0,481.0,8.0,25.0,1479930672.0
309,421496.0,258.0,0.0,39.0,1479930580.0
310,421442.0,520.0,12.0,44.0,1479929217.0
311,421441.0,191.0,7.0,30.0,1479929165.0
312,421380.0,1175.0,26.0,48.0,1479920603.0
313,421347.0,738.0,36.0,38.0,1479917902.0
314,421200.0,714.0,6.0,50.0,1479901805.0
315,421186.0,495.0,6.0,22.0,1479901631.0
316,421184.0,883.0,24.0,24.0,1479901603.0
317,421015.0,753.0,16.0,39.0,1479871633.0
